Indicator Code: CG0010
"Indicator Name: Communicable, maternal, perinatal and nutritional conditions"
Export date: 12/24/2023 11:09:13 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-B99, D50-D53, D64.9, E00-E02, E40-E46, E50-E64, G00-G04, G14, H65-H66, J00-J22, N70-N73, O00-O99, P00-P96, U04, U07.1, U07.2, U09.9, U10.9"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age01_04,[1-4],4.00000000,25.00000000,,10.36726019,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age05_09,[5-9],1.00000000,10.00000000,,2.17755809,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age10_14,[10-14],2.00000000,22.22222222,,4.65289410,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age15_19,[15-19],5.00000000,22.72727273,,10.87878854,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age20_24,[20-24],9.00000000,16.07142857,,16.36393389,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age25_29,[25-29],11.00000000,18.96551724,,17.20631941,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age30_34,[30-34],22.00000000,28.57142857,,38.60394111,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age35_39,[35-39],20.00000000,23.25581395,,41.64497658,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age40_44,[40-44],13.00000000,12.26415094,,29.69867270,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age45_49,[45-49],16.00000000,9.75609756,,33.21845285,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age50_54,[50-54],5.00000000,2.53807107,,10.90203432,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age55_59,[55-59],13.00000000,4.65949821,,34.70183119,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age60_64,[60-64],12.00000000,3.71517028,,39.66155473,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age65_69,[65-69],14.00000000,3.58056266,,58.67068980,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age70_74,[70-74],12.00000000,2.64317181,,68.00793426,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age75_79,[75-79],17.00000000,3.83747178,,145.26189866,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age80_84,[80-84],19.00000000,3.83838384,,251.35599947,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age85_over,[85+],54.00000000,6.08108108,,910.47040971,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age_unknown,[Unknown],0.00000000,0.00000000,,,
